User ID,Customer type,Bundle,Start,End
1169166,SYI,Basis,2024-02-29,2024-04-03
1512712,SYI,Basis,2024-02-29,2024-04-11
1970554,Pro,Plus,2024-02-29,2024-04-11
2233291,SYI,Basis,2024-02-29,2099-12-31
2334629,SYI,Plus,2024-02-29,2099-12-31
2340739,SYI,Plus,2024-02-29,2024-03-30
2849588,Pro,Basis,2024-02-29,2099-12-31
3065070,SYI,Basis,2024-02-29,2024-04-08
3080277,Pro,Basis,2024-02-29,2024-04-08
3540513,SYI,Basis,2024-02-29,2024-05-06
3914515,SYI,Plus,2024-02-29,2099-12-31
4234796,SYI,Basis,2024-02-29,2024-03-15
4663333,SYI,Basis,2024-02-29,2024-03-23
5462876,SYI,Plus,2024-02-29,2099-12-31
5661394,SYI,Basis,2024-02-29,2024-03-30
6322572,SYI,Basis,2024-02-29,2024-06-28
6471864,Pro,Basis,2024-02-29,2099-12-31
6781565,SYI,Plus,2024-02-29,2024-05-23
6829958,SYI,Basis,2024-02-29,2024-11-02
6972431,SYI,Basis,2024-02-29,2099-12-31
7037244,SYI,Basis,2024-02-29,2024-05-12
7517124,Pro,Plus,2024-02-29,2024-03-21
7959298,SYI,Basis,2024-02-29,2024-03-27
8549822,SYI,Basis,2024-02-29,2024-05-07
8593428,Pro,Plus,2024-02-29,2024-05-20
8893884,SYI,Basis,2024-02-29,2099-12-31
8940432,Pro,Basis,2024-02-29,2024-04-01
8978392,SYI,Basis,2024-02-29,2024-03-04
1086918,SYI,Basis,2024-03-01,2024-03-27
1183296,SYI,Basis,2024-03-01,2024-05-15
1216872,SYI,Basis,2024-03-01,2024-05-25
1281381,SYI,Plus,2024-03-01,2099-12-31
1314881,Pro,Basis,2024-03-01,2024-05-27
1773628,SYI,Plus,2024-03-01,2099-12-31
2107972,SYI,Basis,2024-03-01,2099-12-31
2188292,SYI,Basis,2024-03-01,2024-03-30
2653149,SYI,Basis,2024-03-01,2024-04-04
2661526,SYI,Plus,2024-03-01,2024-05-13
2893660,SYI,Basis,2024-03-01,2024-06-03
3239559,SYI,Basis,2024-03-01,2099-12-31
3263141,SYI,Basis,2024-03-01,2024-03-22
3699335,Pro,Basis,2024-03-01,2024-05-13
4298184,SYI,Basis,2024-03-01,2024-06-24
4615238,SYI,Basis,2024-03-01,2024-03-05
4655024,Pro,Plus,2024-03-01,2099-12-31
4866659,SYI,Basis,2024-03-01,2099-12-31
5368654,SYI,Basis,2024-03-01,2024-04-22
5910848,Pro,Basis,2024-03-01,2024-03-31
6360911,SYI,Plus,2024-03-01,2099-12-31
6367304,SYI,Plus,2024-03-01,2024-04-08
6420382,SYI,Basis,2024-03-01,2024-04-22
6521304,SYI,Plus,2024-03-01,2024-08-08
6616730,SYI,Basis,2024-03-01,2024-05-25
7575177,SYI,Basis,2024-03-01,2099-12-31
7917077,SYI,Basis,2024-03-01,2099-12-31
8154071,SYI,Basis,2024-03-01,2024-03-13
8169508,SYI,Basis,2024-03-01,2024-06-23
8289085,SYI,Basis,2024-03-01,2024-12-22
1154680,SYI,Basis,2024-03-02,2024-03-05
1413995,SYI,Basis,2024-03-02,2099-12-31
