seller_id,outreach_readiness_score,bundle_fit_score,recent_paid_usage_percentile,consistency_percentile,category_breadth_percentile,recent_growth_percentile,total_fees_percentile,paid_visibility_percentile,paid_product_breadth_percentile,listing_volume_percentile,is_outreach_ready_group,is_targeted_for_plus_group
48514286,93.76,94.71,98.62,90.21,99.0,88.78,90.57,96.17,95.39,92.58,True,True
24910526,90.31,91.51,93.26,90.21,97.06,98.05,67.93,79.31,95.39,99.82,True,True
37013128,90.14,93.93,95.51,90.21,93.4,78.2,97.14,98.85,86.38,96.56,True,True
71460313,89.0,97.44,99.4,90.21,80.82,64.61,99.9,99.9,99.09,93.33,True,True
88804021,88.91,87.37,93.26,65.44,87.99,94.21,97.19,83.76,95.39,82.94,True,True
12594959,88.88,94.96,98.2,90.21,91.81,58.98,98.7,95.59,95.39,93.91,True,True
70029667,88.68,89.93,98.07,90.21,97.88,60.78,98.75,90.31,86.38,93.09,True,True
44641783,87.98,89.11,86.48,90.21,85.87,70.03,96.22,95.07,99.09,73.16,True,True
76195824,87.46,85.4,91.0,78.22,95.96,95.86,77.34,86.15,86.38,83.67,True,True
46761609,87.45,96.92,92.88,90.21,94.74,61.02,90.44,98.75,95.39,96.61,True,True
88759280,87.28,83.98,88.49,78.22,80.82,88.72,92.06,86.88,95.39,69.69,True,True
37929963,87.22,92.76,96.8,90.21,97.06,69.22,74.64,88.72,95.39,94.17,True,True
60627541,86.94,84.21,95.2,90.21,95.96,92.92,76.8,82.54,70.59,99.51,True,True
36442762,86.87,95.39,97.97,90.21,99.32,60.96,77.37,98.41,95.39,92.38,True,True
32974004,86.85,95.12,83.74,90.21,99.9,72.5,79.35,92.1,95.39,97.86,True,True
94301694,86.85,90.25,91.54,72.19,89.99,85.23,83.05,94.8,99.09,76.85,True,True
26473763,86.84,93.5,96.3,90.21,91.81,60.18,96.15,97.28,86.38,96.85,True,True
69540319,86.75,84.97,90.69,90.21,97.06,72.08,71.38,69.6,99.09,86.24,True,True
97257928,86.73,76.14,94.38,60.59,93.4,99.09,77.55,54.24,95.39,78.79,True,False
89704561,86.64,90.92,99.11,90.21,94.74,58.72,81.67,78.14,95.39,99.22,True,True
40534654,86.52,85.99,99.22,90.21,83.54,78.07,97.47,99.71,70.59,87.67,True,True
28472300,86.0,94.31,98.98,90.21,93.4,35.7,98.59,85.64,99.09,98.2,True,True
84645397,85.94,79.61,96.67,90.21,97.06,67.11,78.23,60.46,86.38,91.98,True,False
55171407,85.86,89.83,99.01,90.21,69.7,61.98,98.85,95.22,95.39,78.87,True,True
90121321,85.75,89.23,83.74,90.21,94.74,59.24,91.2,93.09,95.39,79.22,True,True
14254962,85.51,89.9,90.91,90.21,99.9,64.48,68.49,73.12,99.09,97.47,True,True
45415891,85.5,92.18,97.06,90.21,97.06,63.78,78.53,96.32,86.38,93.85,True,True
56111670,85.49,83.3,94.32,78.22,98.52,90.55,64.95,74.57,86.38,88.96,True,True
18688423,85.42,90.57,98.65,90.21,99.32,59.45,78.49,87.6,86.38,97.73,True,True
26774587,85.3,97.5,97.89,90.21,99.66,32.76,92.21,98.32,99.09,95.09,True,True
28271521,85.29,83.03,94.24,44.05,85.87,96.82,95.36,96.81,95.39,56.9,True,True
81390775,85.24,90.67,97.5,67.49,85.87,99.79,65.39,92.1,95.39,84.53,True,True
59751563,85.22,87.48,89.66,74.74,87.99,90.7,81.85,92.02,86.38,84.04,True,True
98191553,85.19,93.52,91.24,90.21,93.4,58.49,91.43,98.32,86.38,95.86,True,True
67288472,85.17,94.84,97.34,74.74,69.7,79.9,90.26,95.07,99.09,90.35,True,True
98804358,85.11,82.95,86.98,74.74,83.54,88.62,81.38,91.9,95.39,61.55,True,True
51077181,85.1,92.15,94.04,90.21,83.54,63.93,79.82,93.57,99.09,83.8,True,True
93478560,85.0,96.77,99.9,90.21,99.32,32.92,88.54,91.33,99.09,99.9,True,True
33790129,84.99,88.14,85.56,90.21,93.4,77.86,76.54,91.46,86.38,86.58,True,True
42408245,84.98,89.05,93.7,78.22,97.06,86.07,68.46,92.38,86.38,88.37,True,True
10440416,84.93,90.3,82.16,78.22,94.74,64.56,94.53,80.95,95.39,94.56,True,True
14950790,84.91,97.69,99.84,90.21,64.66,59.43,99.92,99.92,95.39,97.76,True,True
81095193,84.88,90.43,98.93,90.21,99.0,71.43,63.31,88.39,86.38,96.51,True,True
44401496,84.86,92.53,94.32,90.21,64.66,67.16,97.42,96.81,95.39,85.38,True,True
94032588,84.84,89.8,91.54,90.21,64.66,64.43,99.14,96.45,99.09,73.87,True,True
21247339,84.83,93.52,80.01,90.21,97.06,68.41,86.89,97.81,86.38,96.35,True,True
12297937,84.79,85.73,96.52,90.21,98.52,60.73,76.35,77.36,86.38,93.46,True,True
93790544,84.79,90.57,95.76,74.74,89.99,69.35,92.5,96.95,86.38,88.37,True,True
76315260,84.73,91.21,95.09,90.21,85.87,60.76,90.05,97.08,86.38,90.16,True,True
75359390,84.71,90.28,97.01,90.21,64.66,71.09,98.93,97.99,86.38,86.47,True,True
63391666,84.64,82.97,91.54,90.21,94.74,72.17,88.62,96.77,70.59,81.55,True,True
26607487,84.61,90.36,82.16,78.22,80.82,80.69,86.69,91.6,99.09,80.39,True,True
78511029,84.61,83.45,95.03,60.59,91.81,83.07,81.74,74.57,95.39,80.39,True,True
66357583,84.55,74.83,79.66,90.21,97.06,99.04,70.76,69.6,70.59,84.3,True,False
83223163,84.51,92.17,95.64,90.21,69.7,64.53,91.59,96.03,95.39,85.08,True,True
79180766,84.48,90.61,93.55,90.21,69.7,71.77,95.26,98.02,86.38,87.42,True,True
64399301,84.43,88.98,99.09,90.21,94.74,59.04,92.94,99.61,70.59,96.74,True,True
14174386,84.43,96.63,98.8,90.21,95.96,29.79,92.73,91.46,99.09,99.35,True,True
58914197,84.35,83.84,89.05,57.84,77.62,99.77,86.43,90.59,95.39,65.55,True,True
37262181,84.34,88.16,99.95,90.21,94.74,72.32,62.47,78.68,86.38,99.43,True,True
99676614,84.34,75.6,88.31,74.74,95.96,98.67,61.98,60.46,86.38,79.97,True,False
43894368,84.25,89.4,85.33,90.21,89.99,81.61,71.98,90.31,86.38,91.51,True,True
33690640,84.24,88.64,98.85,90.21,89.99,62.01,93.83,96.69,70.59,98.65,True,True
34268747,84.2,84.08,90.56,72.19,91.81,94.56,69.71,87.8,86.38,78.05,True,True
43154571,84.16,87.3,92.5,78.22,97.06,65.42,85.36,86.68,86.38,88.85,True,True
19327840,84.07,81.85,97.73,90.21,99.32,34.04,96.72,60.46,86.38,98.72,True,True
41618798,84.01,83.95,87.45,78.22,95.96,66.82,80.23,67.41,95.39,89.06,True,True
96578793,83.96,85.94,98.83,78.22,99.9,84.51,55.96,74.57,86.38,96.88,True,True
72422190,83.95,87.47,95.13,90.21,53.23,70.96,95.1,98.15,99.09,65.18,True,True
42371357,83.91,88.97,92.97,60.59,89.99,81.59,82.92,97.14,95.39,74.39,True,True
77052985,83.82,87.54,89.82,90.21,93.4,77.92,81.02,93.92,70.59,98.11,True,True
93776255,83.78,92.35,90.85,90.21,98.52,64.74,72.01,95.17,86.38,95.49,True,True
26103043,83.73,87.2,86.98,63.23,85.87,85.62,85.29,90.83,95.39,75.38,True,True
70347103,83.57,81.06,99.61,90.21,87.99,84.64,52.6,57.55,86.38,99.24,True,True
82334471,83.56,72.73,77.37,90.21,77.62,79.61,90.18,79.31,86.38,52.49,True,False
45889767,83.5,88.41,98.39,90.21,83.54,94.58,47.88,79.31,86.38,99.53,True,True
47604324,83.48,76.07,83.35,90.21,59.3,77.89,94.74,84.41,95.39,48.4,True,False
33963581,83.45,87.28,92.16,90.21,97.06,60.83,74.04,92.19,86.38,83.28,True,True
80943524,83.41,88.28,92.42,90.21,97.88,59.66,73.91,95.91,86.38,82.54,True,True
48833205,83.36,92.5,99.71,72.19,97.06,35.81,99.97,99.97,95.39,82.14,True,True
29922688,83.34,84.11,90.16,90.21,99.66,84.48,64.92,92.02,70.59,89.74,True,True
89290979,83.27,86.3,97.14,90.21,36.42,81.48,99.01,98.57,95.39,64.95,True,True
22282355,83.27,81.76,87.32,55.26,80.82,93.07,87.73,87.6,95.39,62.29,True,True
57800514,83.11,81.83,89.15,90.21,80.82,70.44,97.45,97.71,70.59,77.2,True,True
15089938,83.09,95.68,91.11,90.21,93.4,34.24,94.17,97.17,95.39,94.48,True,True
14630780,83.05,74.94,87.32,90.21,53.23,86.02,86.15,92.72,95.39,36.72,True,False
59895393,83.05,91.95,99.24,69.71,99.66,72.58,70.73,94.73,86.38,94.74,True,True
61428212,83.01,86.54,96.91,90.21,80.82,81.38,78.12,96.72,70.59,92.32,True,True
40859289,82.98,86.83,92.88,74.74,94.74,71.38,77.73,90.72,86.38,83.4,True,True
98488804,82.95,72.73,89.66,90.21,73.97,81.09,92.19,60.46,70.59,87.16,True,False
90941464,82.93,78.6,99.77,90.21,99.32,58.44,63.49,50.29,86.38,99.14,True,False
86581924,82.84,84.61,82.37,69.71,99.0,65.44,94.11,88.39,86.38,79.06,True,True
55181224,82.61,87.39,67.32,90.21,94.74,75.22,72.79,69.6,95.39,97.19,True,True
20028210,82.6,93.08,94.61,90.21,99.9,23.52,91.98,85.14,95.39,98.7,True,True
92308667,82.6,96.91,96.24,65.44,89.99,58.59,89.92,97.73,95.39,97.6,True,True
51639945,82.6,94.24,87.96,90.21,95.96,62.58,59.78,85.64,99.09,97.99,True,True
93338686,82.57,82.2,91.71,90.21,64.66,64.28,89.19,62.71,95.39,88.52,True,True
40744463,82.56,90.6,96.05,90.21,64.66,69.24,76.12,75.62,99.09,97.08,True,True
46273744,82.31,89.41,99.17,90.21,69.7,65.7,98.49,99.69,70.59,97.97,True,True
28513222,82.3,86.96,98.54,63.23,97.06,78.75,60.86,71.65,95.39,93.83,True,True
11124376,82.27,95.76,99.19,90.21,99.66,33.41,75.76,93.57,95.39,98.33,True,True
70452122,82.24,96.1,80.78,90.21,64.66,61.61,97.08,94.97,99.09,94.24,True,True
96161078,82.2,89.36,97.4,90.21,53.23,58.54,98.46,99.32,95.39,73.36,True,True
79243052,82.19,76.52,85.33,74.74,85.87,95.78,80.86,84.09,70.59,74.88,True,False
24019368,82.18,90.76,91.38,74.74,59.3,79.87,92.4,95.76,95.39,81.13,True,True
38557562,82.18,85.43,85.76,78.22,80.82,94.74,67.16,86.68,86.38,83.24,True,True
25118144,82.16,76.44,97.21,90.21,77.62,60.05,97.29,80.95,70.59,77.79,True,False
95788227,82.05,97.78,90.78,90.21,93.4,24.35,94.45,98.82,99.09,95.44,True,True
61851841,82.04,98.11,97.27,90.21,98.52,13.2,97.66,99.84,95.39,99.09,True,True
98779517,81.99,82.16,88.71,65.44,87.99,83.07,80.34,93.68,86.38,66.41,True,True
65611836,81.98,82.59,85.89,65.44,89.99,84.79,79.4,91.46,86.38,69.93,True,True
93061080,81.98,97.81,92.79,90.21,99.0,26.61,87.86,98.98,95.39,99.06,True,True
27543944,81.88,93.97,99.14,90.21,53.23,68.44,93.91,99.35,86.38,96.17,True,True
20801531,81.77,86.2,91.17,74.74,93.4,64.77,71.17,77.36,95.39,85.86,True,True
12828713,81.65,81.13,88.14,90.21,91.81,59.92,89.24,82.54,70.59,90.27,True,True
85072491,81.64,95.16,94.9,90.21,93.4,25.21,90.73,98.59,95.39,91.48,True,True
53525991,81.63,89.21,96.45,90.21,80.82,30.86,96.04,97.58,95.39,74.67,True,True
71346480,81.59,85.22,98.44,90.21,93.4,59.22,61.9,73.12,86.38,96.15,True,True
16487289,81.55,87.06,81.39,90.21,80.82,59.4,78.39,92.54,99.09,69.56,True,True
16724610,81.54,93.26,91.38,90.21,98.52,25.42,88.33,97.55,95.39,86.85,True,True
82796305,81.53,86.09,97.42,90.21,80.82,34.53,99.79,84.41,86.38,87.47,True,True
96150834,81.52,86.97,98.52,57.84,85.87,85.18,91.15,95.0,70.59,95.34,True,True
52951153,81.45,87.86,96.38,90.21,45.44,71.95,98.31,96.12,86.38,81.07,True,True
81409484,81.42,91.88,95.55,72.19,64.66,62.86,97.86,99.11,95.39,81.13,True,True
87063861,81.39,47.69,85.33,90.21,73.97,92.5,95.7,39.19,50.62,53.26,True,False
11637466,81.26,89.54,93.52,90.21,99.66,26.15,91.67,93.45,86.38,88.78,True,True
57538468,81.21,82.98,89.96,78.22,97.06,90.73,60.7,86.15,70.59,92.21,True,True
67508913,81.18,73.1,81.39,63.23,83.54,80.59,91.95,57.55,86.38,75.38,True,False
26994522,81.16,83.8,87.58,78.22,80.82,62.24,91.74,82.98,86.38,82.03,True,True
69033846,81.15,62.42,94.43,90.21,99.0,71.8,80.83,45.51,50.62,91.13,True,False
56601835,81.14,86.54,91.84,90.21,73.97,96.88,47.57,74.57,86.38,98.67,True,True
27215639,81.13,83.52,90.78,90.21,97.06,66.07,72.06,86.68,70.59,93.28,True,True
76923454,81.11,88.4,95.86,90.21,77.62,24.92,98.98,99.24,99.09,66.88,True,True
94436214,81.08,84.57,88.85,78.22,91.81,72.06,69.17,77.36,86.38,89.97,True,True
72101925,81.05,79.26,93.79,90.21,91.81,64.64,95.23,98.49,50.62,88.67,True,False
24701161,81.05,75.73,93.12,65.44,97.06,99.32,80.73,84.41,50.62,92.15,True,False
50027088,81.04,73.82,87.66,78.22,97.06,72.36,80.39,67.41,70.59,83.45,True,False
78711747,81.02,85.0,59.41,90.21,98.52,78.84,72.76,84.41,86.38,84.19,True,True
53015591,81.0,82.41,79.21,90.21,99.66,71.56,74.77,84.41,70.59,92.24,True,True
51259251,80.96,90.99,82.68,90.21,73.97,64.22,88.31,92.54,86.38,94.04,True,True
79693540,80.95,83.67,86.32,78.22,97.88,75.22,77.5,96.51,70.59,83.91,True,True
